#deck:Fantastico! - 02 - Un Albergo
"l'albergo pl-ghi";"Hotel"
"al mare";"am Meer"
"la bala";"Bucht"
"blu";"blau"
"cercare";"suchen"
"Il sole";"Sonne"
"qul";"hier"
"per vol";"fur euch; fur Sie"
"offre inf offrire";"bietet"
"tutto";"alles"
"Il servizlo pl servizi";"Dienstleistung"
"la terrazza";"Terrasse"
"I centro benessere";"Wellnessbereich"
"la palestra";"hier:Fitnessraum"
"la piscina";"Schwimmbad"
"il parchegglo";"Parkplatz"
"l'animazione f";"Animation"
"la camera pl camere";"Zimmer"
"Il balcone";"Balkon"
"yis";"Meerblick"
"la vista";"Aussicht, Blick"
"Il bagno";"Bad"
"il minibar";"Minibar"
"Il WI-FI";"WLAN"
"Il televisore";"Fernseher"
"nel dintornl";"in der Umgebung, in der<br>Nahe"
"I dintorni pl";"Umgebung"
"libero/a";"hier: offentlich"
"il parco pl-chi";"Park"
"naturale";"Natur-"
"l'attivita";"Aktivitat"
"la passeggiata<br>pl passeggiate";"Spaziergang"
"lo sport";"Sport"
"acquatico/a pl-ci-che";"Wasser-"
"il campo da tennis";"Tennisplatz"
"la sauna";"Sauna"
"la colazlone";"FruhstOck"
"I'ascensore m";"Aufzug"
"l'arla condizlonata";"Klimaanlage"
"Il/la camerlere/a";"Kellner/in"
"il/la cuoco/a<br>pl-chi/-che";"Koch/Kochin"
"l'animatore/-trice m/f";"Animateur/in"
"Il/la fisloteraplsta";"Physiotherapeut/in"
"Il/la receptionist";"Rezeptionist/in"
"IV/la direttore/-trice";"Direktor/in"
"prenotare";"buchen"
"la voglia (di)";"Lust (auf)"
"Il campo da golf";"Golfplatz"
"b l'articolo determinativo";"bestimmter Artikel"
"ll gloco a catena";"Kettenubung"
"il gloco pl -chi";"Spiel"
"la catena";"Kette"
"per me";"fur mich"
"Bd fuorl";"drauBen"
"dentro";"drinnen"
"c'e";"es gibt"
"gratulto/a";"kostenfrei, gratis"
"Incluso/a";"inbegriffen"
"costare";"kosten"
"ho inf avere";"ich habe"
"la prenotazlone";"Buchung"
"prossimo/a";"nachste/r/s"
"la settimana";"Woche"
"certamente";"naturlich, sicherlich"
"tutti tutte le";"alle"
"hanno inf avere";"sie haben"
"a pagamento";"kostenpflichtig"
"quanto?";"wie viel?"
"l'euro";"Euro"
"al glorno";"am Tag"
"ilglorno";"Tag"
"grazie mille";"vielen Dank"
"rlascoltare";"noch einmal anhoren"
"avete inf avere";"Sie haben"
"vicino/a";"nah, in der Nahe"
"ha inf avere'";"er/sie /es hat"
"glochlamo inf giocare";"wir spielen"
"avere"";"haben"
"Indovinare";"erraten"
"mi displace inf<br>dispiacere";"es tut mir leid"
"la villa";"Villa"
"la locanda";"Gasthaus"
"la pensione";"Pension"
"alla reception";"an der Rezeption"
"la reception";"Rezeption"
"completare";"vervollstandigen"
"ha prenotato inf<br>prenotare";"er/sie hat gebucht"
"la notte";"Nacht"
"la camera doppla";"Doppelzimmer"
"la camera singola";"Einzelzimmer"
"la password";"Passwort"
"verificare";"uberprufen"
"da...a...";"von … bis …"
"glugno m";"Juni"
"l'attimo";"Moment"
"per favore";"bitte"
"ecco";"hier ist es"
"allora";"also"
"perfetto/a";"perfekt"
"scusl inf scusare";"entschuldigen Sie"
"dov'e?";"wo ist?"
"dove?";"wo?"
"a destra";"rechts"
"il numero";"Nummer"
"ecco la chlave";"hier bitte, der Schlussel"
"la chiave";"Schlussel"
"a sinistra";"links"
"Buon sogglorno!";"Guten Aufenthalt!"
"Il soggiorno";"Aufenthalt"
"l'articolo<br>Indeterminativo";"unbestimmter Artikel"
"l'isola";"Insel"
"privato/a";"privat, Privat-"
"ancora";"noch"
"Il glardino";"Garten"
"il bambino";"Kind"
"interessante";"interessant"
"la Vespa";"Vespa"
"la pizza";"Pizza"
"preferito/a";"Lieblings-"
"Il medico";"Arzt/Arztin"
"b ancora";"hier: noch mehr"
"ll numero della camera";"Zimmernummer"
"trovare";"finden"
"un po' (dl)";"ein bisschen"
"Il relax";"Entspannung"
"al corso dl yoga";"beim Yogakurs"
"lo yoga";"Yoga"
"facclo inffare";"hier: ich bin"
"fare"";"machen, tun"
"anche";"auch"
"l'insegnante m/f";"Lehrer/in"
"l'implegato/a";"Angestellte/r"
"la banca";"Bank"
"esigente";"anspruchsvoll"
"stressato/a";"gestresst"
"vorrel inf volere";"hier: ich möchte"
"provare";"ausprobieren, versuchen"
"rllassarml inf rilassarsi";"mich entspannen"
"rilassarsl";"sich entspannen"
"Il/la glornalista";"Journalist/in"
"sempre";"immer"
"al computer";"am Computer"
"il computer";"Computer"
"il problema";"Problem"
"la schlena";"Rucken"
"I'ospedale m";"Krankenhaus"
"facclo I'infermiera";"ich bin von Beruf Kran-<br>kenpflegerin"
"l'infermlere/am/f";"Krankenpflegerin"
"lavoro inf lavorare";"ich arbeite"
"troppo awv";"zu viel"
"Che lavoro fal?";"Was machst du beruflich?"
"che?";"was?"
"fal inf fare";"du machst"
"Che lavoro fa?";"Was machen Sie beruf-<br>lich?"
"fa inf fare";"Sie machen (sg)"
"il/la pensionato/a";"Rentner/in"
"ll/la segretario/a";"Sekretar/in"
"l'uffilclo";"Buro"
"a apriamo inf aprire";"wir eroffnen"
"aprire"";"offnen, eroffnen"
"il luogo pl-ghi";"Ort"
"il personale";"Personal"
"il costo plcosti";"Preise, Kosten"
"b nostro/a pl nostri/e";"unser/e"
"INC I'agrityrismo";"Landgut mit Bewirtungss-<br>betrieb und Zimmerver-<br>mietung"
"il cipresso";"Zypresse"
"il gestore";"Betreiber/in"
"la Toscana";"Toskana"
"vicino/a a";"in der Nahe von"
"combinare";"verbinden"
"l'agricoltura";"Landwirtschaft"
"il turismo";"Tourismus"
"sostenibile";"umweltfreundlich"
"la cucina";"Kuche"
"solo aw";"nur"
"il prodotto pl prodotti";"Produkt"
"reglonale pl regionali";"regional"
"di staglone";"der Saison"
"la staglone";"Saison"
"potete inf potere";"ihr könnt; Sie konnen"
"prendere"";"nehmen"
"direttamente";"direkt"
"il frutto pl frutti";"Frucht"
"da";"von"
"l'albero pl alberi";"Baum"
"preparare";"zubereiten"
"ll tè";"Tee"
"le erbe aromatiche pl";"Kuchenkrauter"
"la menta";"Pfefferminze"
"il rosmarino";"Rosmarin"
"offriamo inf offrire";"wir bieten an"
"il corso di cucina<br>naturale";"Naturkochkurs"
"piccolo/a";"klein"
"il parco glochi";"Spielplatz"
"ottimo/a";"ausgezeichnet"
"l'alternativa";"Alternative"
"il comfort";"Komfort"
"buono/a";"gut"
"in mezzo a";"mitten in"
"OInserlte infinserire";"tragen Sie ein"
"la conversazione<br>pl conversazioni";"Gesprach, Unterhaltung"
"In albergo";"im Hotel"
"al planterreno";"im Erdgeschoss"
"iIl planterreno";"Erdgeschoss"
"a combinazlone";"Kombination,Zusammen-<br>stellung"
"I numerl pl in sequenza";"Zahlenreihe"
"finlandese";"finnisch"
"il grado";"Grad (Temperatur)"
"essere a...gradi";"….Grad heif sein"
"la professlone<br>pl professioni";"Beruf"
"a Il cognome";"Nachname"
"la nazionalita";"Nationalitat"
"ml presento inf<br>presentarsi";"ich stelle mich vor"
"I'olandese m";"Hollandisch (Sprache)"
"la melodia";"Melodie"
"dell'itallano";"hier: der iainschr<br>Sprache"
"la (plzza) margherita";"Pizza Margherita (mit<br>passierten Tomaten und<br>Mozzarella)"
